"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1404,1.65656,24.7,21.236236,1,6.356,"Montana",2008
1405,0.623528,18.4,16.153214,0,6.895,"Nebraska",2008
1406,0.715852,30.2,25.953716,0,5.611,"Nevada",2008
1407,0.878804,35.4,23.471624,1,7.47,"New Hampshire",2008
1408,1.99607,29.2,25.663316,1,7.356,"New Jersey",2008
1409,0.878782,30.4,26.592836,1,6.356,"New Mexico",2008
1410,1.21251,23.6,28.47228,1,7.966,"New York",2008
1411,0.360242,26.5,19.978235,1,6.199,"North Carolina",2008
1412,0.433137,17,17.598501,0,7.333,"North Dakota",2008
1413,1.21759,18.2,20.762981,1,6.776,"Ohio",2008
1414,1.12033,12.8,12.926307,1,6.31,"Oklahoma",2008
1415,1.04639,32.2,27.084568,1,6.304,"Oregon",2008
1416,2.07616,14.6,23.020294,1,7.483,"Pennsylvania",2008
1417,2.003,19.5,28.575645,0,8.045,"Rhode Island",2008
1418,0.073466,8.8,17.791105,0,6.132,"South Carolina",2008
1419,0.519875,17.1,17.1904,0,6.721,"South Dakota",2008
1420,0.652883,17.4,16.151744,1,6.229,"Tennessee",2008
1421,1.52693,18.8,16.99102,0,5.714,"Texas",2008
1422,0.624356,19.2,16.574138,0,4.871,"Utah",2008
1423,1.50604,38.3,30.600283,0,7.358,"Vermont",2008
1424,0.296479,16.4,22.006387,1,6.049,"Virginia",2008
1425,1.73976,35.4,28.988991,1,6.443,"Washington",2008
1426,0.595911,14.2,15.20052,1,7.667,"West Virginia",2008
1427,1.68952,22,22.372465,1,7.003,"Wisconsin",2008
1428,0.576659,23.3,14.957324,1,6.815,"Wyoming",2008
1429,0.454831,12.9,14.03746,0,6.272,"Alabama",2009
1430,1.76772,21.7,17.945215,0,9.128,"Alaska",2009
1431,1.90542,31.1,19.037555,0,5.434,"Arizona",2009
1432,1.2562,23,16.069634,1,6.167,"Arkansas",2009
1433,0.704732,27.5,26.538337,0,6.238,"California",2009
1434,0.724503,37,23.744112,1,5.994,"Colorado",2009
1435,1.54856,31.6,28.012375,0,8.654,"Connecticut",2009
1436,1.10784,25.8,48.568748,1,8.48,"Delaware",2009
1437,NA,NA,22.065933,NA,10.349,"District of Columbia",2009
1438,0.352285,23.1,18.879258,0,7.156,"Florida",2009
1439,0.380782,19.5,15.837746,0,5.467,"Georgia",2009
1440,1.43184,32.9,33.313861,0,6.856,"Hawaii",2009
1441,0.553416,24.8,16.739275,0,5.658,"Idaho",2009
1442,0.919172,27.7,25.224931,1,6.756,"Illinois",2009
1443,0.98146,21.3,16.506831,0,6.666,"Indiana",2009
1444,1.35024,23.3,19.818879,1,6.921,"Iowa",2009
1445,0.780806,29.1,16.267375,1,6.782,"Kansas",2009
1446,0.641042,15.9,15.210363,1,6.596,"Kentucky",2009
1447,0.383605,16,14.890779,0,6.795,"Louisiana",2009
1448,1.74338,29,22.087569,1,8.251,"Maine",2009
1449,1.90381,30.9,24.486133,1,7.492,"Maryland",2009
